district,state,month,normal_temp_c,normal_rainfall_mm,normal_humidity_pct
Anantapur,Andhra Pradesh,3,29,8,58
Anantapur,Andhra Pradesh,4,32,15,55
Anantapur,Andhra Pradesh,5,35,30,55
Anantapur,Andhra Pradesh,6,32,80,70
Anantapur,Andhra Pradesh,7,29,120,80
Anantapur,Andhra Pradesh,8,28,110,82
Anantapur,Andhra Pradesh,9,28,150,80
Anantapur,Andhra Pradesh,10,27,100,75
Anantapur,Andhra Pradesh,11,24,40,68
Anantapur,Andhra Pradesh,12,22,10,65
Chittoor,Andhra Pradesh,1,24,5,65
Chittoor,Andhra Pradesh,2,26,5,60
Chittoor,Andhra Pradesh,3,29,8,58
Chittoor,Andhra Pradesh,4,32,15,55
Chittoor,Andhra Pradesh,5,35,30,55
Chittoor,Andhra Pradesh,6,32,80,70
Chittoor,Andhra Pradesh,7,29,120,80
Chittoor,Andhra Pradesh,8,28,110,82
Chittoor,Andhra Pradesh,9,28,150,80
Chittoor,Andhra Pradesh,10,27,100,75
Chittoor,Andhra Pradesh,11,24,40,68
Chittoor,Andhra Pradesh,12,22,10,65
Cuddapah,Andhra Pradesh,1,24,5,65
Cuddapah,Andhra Pradesh,2,26,5,60
Cuddapah,Andhra Pradesh,3,29,8,58
Cuddapah,Andhra Pradesh,4,32,15,55
Cuddapah,Andhra Pradesh,5,35,30,55
Cuddapah,Andhra Pradesh,6,32,80,70
Cuddapah,Andhra Pradesh,7,29,120,80
Cuddapah,Andhra Pradesh,8,28,110,82
Cuddapah,Andhra Pradesh,9,28,150,80
Cuddapah,Andhra Pradesh,10,27,100,75
Cuddapah,Andhra Pradesh,11,24,40,68
Cuddapah,Andhra Pradesh,12,22,10,65
East Godavari,Andhra Pradesh,1,24,5,65
East Godavari,Andhra Pradesh,2,26,5,60
East Godavari,Andhra Pradesh,3,29,8,58
East Godavari,Andhra Pradesh,4,32,15,55
East Godavari,Andhra Pradesh,5,35,30,55
East Godavari,Andhra Pradesh,6,32,80,70
East Godavari,Andhra Pradesh,7,29,120,80
East Godavari,Andhra Pradesh,8,28,110,82
East Godavari,Andhra Pradesh,9,28,150,80
East Godavari,Andhra Pradesh,10,27,100,75
East Godavari,Andhra Pradesh,11,24,40,68
East Godavari,Andhra Pradesh,12,22,10,65
Guntur,Andhra Pradesh,1,24,5,65
Guntur,Andhra Pradesh,2,26,5,60
Guntur,Andhra Pradesh,3,29,8,58
Guntur,Andhra Pradesh,4,32,15,55
Guntur,Andhra Pradesh,5,35,30,55
Guntur,Andhra Pradesh,6,32,80,70
Guntur,Andhra Pradesh,7,29,120,80
Guntur,Andhra Pradesh,8,28,110,82
Guntur,Andhra Pradesh,9,28,150,80
Guntur,Andhra Pradesh,10,27,100,75
Guntur,Andhra Pradesh,11,24,40,68
Guntur,Andhra Pradesh,12,22,10,65
Hyderabad,Andhra Pradesh,1,24,5,65
Hyderabad,Andhra Pradesh,2,26,5,60
Hyderabad,Andhra Pradesh,3,29,8,58
Hyderabad,Andhra Pradesh,4,32,15,55
Hyderabad,Andhra Pradesh,5,35,30,55
Hyderabad,Andhra Pradesh,6,32,80,70
Hyderabad,Andhra Pradesh,7,29,120,80
Hyderabad,Andhra Pradesh,8,28,110,82
Hyderabad,Andhra Pradesh,9,28,150,80
Hyderabad,Andhra Pradesh,10,27,100,75
Hyderabad,Andhra Pradesh,11,24,40,68
Hyderabad,Andhra Pradesh,12,22,10,65
Karimnagar,Andhra Pradesh,1,24,5,65
Karimnagar,Andhra Pradesh,2,26,5,60
Karimnagar,Andhra Pradesh,3,29,8,58
Karimnagar,Andhra Pradesh,4,32,15,55
Karimnagar,Andhra Pradesh,5,35,30,55
Karimnagar,Andhra Pradesh,6,32,80,70
Karimnagar,Andhra Pradesh,7,29,120,80
Karimnagar,Andhra Pradesh,8,28,110,82
Karimnagar,Andhra Pradesh,9,28,150,80
Karimnagar,Andhra Pradesh,10,27,100,75
Karimnagar,Andhra Pradesh,11,24,40,68
Karimnagar,Andhra Pradesh,12,22,10,65
Khammam,Andhra Pradesh,1,24,5,65
Khammam,Andhra Pradesh,2,26,5,60
Khammam,Andhra Pradesh,3,29,8,58
Khammam,Andhra Pradesh,4,32,15,55
Khammam,Andhra Pradesh,5,35,30,55
Khammam,Andhra Pradesh,6,32,80,70
Khammam,Andhra Pradesh,7,29,120,80
Khammam,Andhra Pradesh,8,28,110,82
Khammam,Andhra Pradesh,9,28,150,80
Khammam,Andhra Pradesh,10,27,100,75
Khammam,Andhra Pradesh,11,24,40,68
Khammam,Andhra Pradesh,12,22,10,65
Krishna,Andhra Pradesh,1,24,5,65
Krishna,Andhra Pradesh,2,26,5,60
Krishna,Andhra Pradesh,3,29,8,58
Krishna,Andhra Pradesh,4,32,15,55
Krishna,Andhra Pradesh,5,35,30,55
Krishna,Andhra Pradesh,6,32,80,70
Krishna,Andhra Pradesh,7,29,120,80
Krishna,Andhra Pradesh,8,28,110,82
Krishna,Andhra Pradesh,9,28,150,80
Krishna,Andhra Pradesh,10,27,100,75
Krishna,Andhra Pradesh,11,24,40,68
Krishna,Andhra Pradesh,12,22,10,65
Kurnool,Andhra Pradesh,1,24,5,65
Kurnool,Andhra Pradesh,2,26,5,60
Kurnool,Andhra Pradesh,3,29,8,58
Kurnool,Andhra Pradesh,4,32,15,55
Kurnool,Andhra Pradesh,5,35,30,55
Kurnool,Andhra Pradesh,6,32,80,70
Kurnool,Andhra Pradesh,7,29,120,80
Kurnool,Andhra Pradesh,8,28,110,82
Kurnool,Andhra Pradesh,9,28,150,80
Kurnool,Andhra Pradesh,10,27,100,75
Kurnool,Andhra Pradesh,11,24,40,68
Kurnool,Andhra Pradesh,12,22,10,65
Mahbubnagar,Andhra Pradesh,1,24,5,65
Mahbubnagar,Andhra Pradesh,2,26,5,60
Mahbubnagar,Andhra Pradesh,3,29,8,58
Mahbubnagar,Andhra Pradesh,4,32,15,55
Mahbubnagar,Andhra Pradesh,5,35,30,55
Mahbubnagar,Andhra Pradesh,6,32,80,70
Mahbubnagar,Andhra Pradesh,7,29,120,80
Mahbubnagar,Andhra Pradesh,8,28,110,82
Mahbubnagar,Andhra Pradesh,9,28,150,80
Mahbubnagar,Andhra Pradesh,10,27,100,75
Mahbubnagar,Andhra Pradesh,11,24,40,68
Mahbubnagar,Andhra Pradesh,12,22,10,65
Medak,Andhra Pradesh,1,24,5,65
Medak,Andhra Pradesh,2,26,5,60
Medak,Andhra Pradesh,3,29,8,58
Medak,Andhra Pradesh,4,32,15,55
Medak,Andhra Pradesh,5,35,30,55
Medak,Andhra Pradesh,6,32,80,70
Medak,Andhra Pradesh,7,29,120,80
Medak,Andhra Pradesh,8,28,110,82
Medak,Andhra Pradesh,9,28,150,80
Medak,Andhra Pradesh,10,27,100,75
Medak,Andhra Pradesh,11,24,40,68
Medak,Andhra Pradesh,12,22,10,65
Nalgonda,Andhra Pradesh,1,24,5,65
Nalgonda,Andhra Pradesh,2,26,5,60
Nalgonda,Andhra Pradesh,3,29,8,58
Nalgonda,Andhra Pradesh,4,32,15,55
Nalgonda,Andhra Pradesh,5,35,30,55
Nalgonda,Andhra Pradesh,6,32,80,70
Nalgonda,Andhra Pradesh,7,29,120,80
Nalgonda,Andhra Pradesh,8,28,110,82
Nalgonda,Andhra Pradesh,9,28,150,80
Nalgonda,Andhra Pradesh,10,27,100,75
Nalgonda,Andhra Pradesh,11,24,40,68
Nalgonda,Andhra Pradesh,12,22,10,65
Nellore,Andhra Pradesh,1,24,5,65
Nellore,Andhra Pradesh,2,26,5,60
Nellore,Andhra Pradesh,3,29,8,58
Nellore,Andhra Pradesh,4,32,15,55
Nellore,Andhra Pradesh,5,35,30,55
Nellore,Andhra Pradesh,6,32,80,70
Nellore,Andhra Pradesh,7,29,120,80
Nellore,Andhra Pradesh,8,28,110,82
Nellore,Andhra Pradesh,9,28,150,80
Nellore,Andhra Pradesh,10,27,100,75
Nellore,Andhra Pradesh,11,24,40,68
Nellore,Andhra Pradesh,12,22,10,65
Nizamabad,Andhra Pradesh,1,24,5,65
Nizamabad,Andhra Pradesh,2,26,5,60
Nizamabad,Andhra Pradesh,3,29,8,58
Nizamabad,Andhra Pradesh,4,32,15,55
Nizamabad,Andhra Pradesh,5,35,30,55
Nizamabad,Andhra Pradesh,6,32,80,70
Nizamabad,Andhra Pradesh,7,29,120,80
Nizamabad,Andhra Pradesh,8,28,110,82
Nizamabad,Andhra Pradesh,9,28,150,80
Nizamabad,Andhra Pradesh,10,27,100,75
Nizamabad,Andhra Pradesh,11,24,40,68
Nizamabad,Andhra Pradesh,12,22,10,65
Prakasam,Andhra Pradesh,1,24,5,65
Prakasam,Andhra Pradesh,2,26,5,60
Prakasam,Andhra Pradesh,3,29,8,58
Prakasam,Andhra Pradesh,4,32,15,55
Prakasam,Andhra Pradesh,5,35,30,55
Prakasam,Andhra Pradesh,6,32,80,70
Prakasam,Andhra Pradesh,7,29,120,80
Prakasam,Andhra Pradesh,8,28,110,82
Prakasam,Andhra Pradesh,9,28,150,80
Prakasam,Andhra Pradesh,10,27,100,75
Prakasam,Andhra Pradesh,11,24,40,68
Prakasam,Andhra Pradesh,12,22,10,65
Rangareddi,Andhra Pradesh,1,24,5,65
Rangareddi,Andhra Pradesh,2,26,5,60
Rangareddi,Andhra Pradesh,3,29,8,58
Rangareddi,Andhra Pradesh,4,32,15,55
Rangareddi,Andhra Pradesh,5,35,30,55
Rangareddi,Andhra Pradesh,6,32,80,70
Rangareddi,Andhra Pradesh,7,29,120,80
Rangareddi,Andhra Pradesh,8,28,110,82
Rangareddi,Andhra Pradesh,9,28,150,80
Rangareddi,Andhra Pradesh,10,27,100,75
Rangareddi,Andhra Pradesh,11,24,40,68
Rangareddi,Andhra Pradesh,12,22,10,65
Srikakulam,Andhra Pradesh,1,24,5,65
Srikakulam,Andhra Pradesh,2,26,5,60
Srikakulam,Andhra Pradesh,3,29,8,58
Srikakulam,Andhra Pradesh,4,32,15,55
Srikakulam,Andhra Pradesh,5,35,30,55
Srikakulam,Andhra Pradesh,6,32,80,70
Srikakulam,Andhra Pradesh,7,29,120,80
Srikakulam,Andhra Pradesh,8,28,110,82
Srikakulam,Andhra Pradesh,9,28,150,80
Srikakulam,Andhra Pradesh,10,27,100,75
Srikakulam,Andhra Pradesh,11,24,40,68
Srikakulam,Andhra Pradesh,12,22,10,65
Vishakhapatnam,Andhra Pradesh,1,24,5,65
Vishakhapatnam,Andhra Pradesh,2,26,5,60
Vishakhapatnam,Andhra Pradesh,3,29,8,58
Vishakhapatnam,Andhra Pradesh,4,32,15,55
Vishakhapatnam,Andhra Pradesh,5,35,30,55
Vishakhapatnam,Andhra Pradesh,6,32,80,70
Vishakhapatnam,Andhra Pradesh,7,29,120,80
Vishakhapatnam,Andhra Pradesh,8,28,110,82
Vishakhapatnam,Andhra Pradesh,9,28,150,80
Vishakhapatnam,Andhra Pradesh,10,27,100,75
Vishakhapatnam,Andhra Pradesh,11,24,40,68
Vishakhapatnam,Andhra Pradesh,12,22,10,65
Vizianagaram,Andhra Pradesh,1,24,5,65
Vizianagaram,Andhra Pradesh,2,26,5,60
Vizianagaram,Andhra Pradesh,3,29,8,58
Vizianagaram,Andhra Pradesh,4,32,15,55
Vizianagaram,Andhra Pradesh,5,35,30,55
Vizianagaram,Andhra Pradesh,6,32,80,70
Vizianagaram,Andhra Pradesh,7,29,120,80
Vizianagaram,Andhra Pradesh,8,28,110,82
Vizianagaram,Andhra Pradesh,9,28,150,80
Vizianagaram,Andhra Pradesh,10,27,100,75
Vizianagaram,Andhra Pradesh,11,24,40,68
Vizianagaram,Andhra Pradesh,12,22,10,65
Warangal,Andhra Pradesh,1,24,5,65
Warangal,Andhra Pradesh,2,26,5,60
Warangal,Andhra Pradesh,3,29,8,58
Warangal,Andhra Pradesh,4,32,15,55
Warangal,Andhra Pradesh,5,35,30,55
Warangal,Andhra Pradesh,6,32,80,70
Warangal,Andhra Pradesh,7,29,120,80
Warangal,Andhra Pradesh,8,28,110,82
Warangal,Andhra Pradesh,9,28,150,80
Warangal,Andhra Pradesh,10,27,100,75
Warangal,Andhra Pradesh,11,24,40,68
Warangal,Andhra Pradesh,12,22,10,65
West Godavari,Andhra Pradesh,1,24,5,65
West Godavari,Andhra Pradesh,2,26,5,60
West Godavari,Andhra Pradesh,3,29,8,58
West Godavari,Andhra Pradesh,4,32,15,55
West Godavari,Andhra Pradesh,5,35,30,55
West Godavari,Andhra Pradesh,6,32,80,70
West Godavari,Andhra Pradesh,7,29,120,80
West Godavari,Andhra Pradesh,8,28,110,82
West Godavari,Andhra Pradesh,9,28,150,80
West Godavari,Andhra Pradesh,10,27,100,75
West Godavari,Andhra Pradesh,11,24,40,68
West Godavari,Andhra Pradesh,12,22,10,65
Changlang,Arunachal Pradesh,1,10,30,75
Changlang,Arunachal Pradesh,2,12,40,72
Changlang,Arunachal Pradesh,3,16,80,70
Changlang,Arunachal Pradesh,4,19,150,72
Changlang,Arunachal Pradesh,5,22,250,78
Changlang,Arunachal Pradesh,6,24,350,85
Changlang,Arunachal Pradesh,7,25,400,88
Changlang,Arunachal Pradesh,8,25,380,88
Changlang,Arunachal Pradesh,9,23,300,85
Changlang,Arunachal Pradesh,10,20,150,80
Changlang,Arunachal Pradesh,11,15,50,75
Changlang,Arunachal Pradesh,12,11,20,74
East Kameng,Arunachal Pradesh,1,10,30,75
East Kameng,Arunachal Pradesh,2,12,40,72
East Kameng,Arunachal Pradesh,3,16,80,70
East Kameng,Arunachal Pradesh,4,19,150,72
East Kameng,Arunachal Pradesh,5,22,250,78
East Kameng,Arunachal Pradesh,6,24,350,85
East Kameng,Arunachal Pradesh,7,25,400,88
East Kameng,Arunachal Pradesh,8,25,380,88
East Kameng,Arunachal Pradesh,9,23,300,85
East Kameng,Arunachal Pradesh,10,20,150,80
East Kameng,Arunachal Pradesh,11,15,50,75
East Kameng,Arunachal Pradesh,12,11,20,74
East Siang,Arunachal Pradesh,1,10,30,75
East Siang,Arunachal Pradesh,2,12,40,72
East Siang,Arunachal Pradesh,3,16,80,70
East Siang,Arunachal Pradesh,4,19,150,72
East Siang,Arunachal Pradesh,5,22,250,78
East Siang,Arunachal Pradesh,6,24,350,85
East Siang,Arunachal Pradesh,7,25,400,88
East Siang,Arunachal Pradesh,8,25,380,88
East Siang,Arunachal Pradesh,9,23,300,85
East Siang,Arunachal Pradesh,10,20,150,80
East Siang,Arunachal Pradesh,11,15,50,75
East Siang,Arunachal Pradesh,12,11,20,74
Kurung Kumey,Arunachal Pradesh,1,10,30,75
Kurung Kumey,Arunachal Pradesh,2,12,40,72
Kurung Kumey,Arunachal Pradesh,3,16,80,70
Kurung Kumey,Arunachal Pradesh,4,19,150,72
Kurung Kumey,Arunachal Pradesh,5,22,250,78
Kurung Kumey,Arunachal Pradesh,6,24,350,85
Kurung Kumey,Arunachal Pradesh,7,25,400,88
Kurung Kumey,Arunachal Pradesh,8,25,380,88
Kurung Kumey,Arunachal Pradesh,9,23,300,85
Kurung Kumey,Arunachal Pradesh,10,20,150,80
Kurung Kumey,Arunachal Pradesh,11,15,50,75
Kurung Kumey,Arunachal Pradesh,12,11,20,74
Lohit,Arunachal Pradesh,1,10,30,75
Lohit,Arunachal Pradesh,2,12,40,72
Lohit,Arunachal Pradesh,3,16,80,70
Lohit,Arunachal Pradesh,4,19,150,72
Lohit,Arunachal Pradesh,5,22,250,78
Lohit,Arunachal Pradesh,6,24,350,85
Lohit,Arunachal Pradesh,7,25,400,88
Lohit,Arunachal Pradesh,8,25,380,88
Lohit,Arunachal Pradesh,9,23,300,85
Lohit,Arunachal Pradesh,10,20,150,80
Lohit,Arunachal Pradesh,11,15,50,75
Lohit,Arunachal Pradesh,12,11,20,74
Lower Dibang Valley,Arunachal Pradesh,1,10,30,75
Lower Dibang Valley,Arunachal Pradesh,2,12,40,72
Lower Dibang Valley,Arunachal Pradesh,3,16,80,70
Lower Dibang Valley,Arunachal Pradesh,4,19,150,72
Lower Dibang Valley,Arunachal Pradesh,5,22,250,78
Lower Dibang Valley,Arunachal Pradesh,6,24,350,85
Lower Dibang Valley,Arunachal Pradesh,7,25,400,88
Lower Dibang Valley,Arunachal Pradesh,8,25,380,88
Lower Dibang Valley,Arunachal Pradesh,9,23,300,85
Lower Dibang Valley,Arunachal Pradesh,10,20,150,80
Lower Dibang Valley,Arunachal Pradesh,11,15,50,75
Lower Dibang Valley,Arunachal Pradesh,12,11,20,74
Lower Subansiri,Arunachal Pradesh,1,10,30,75
Lower Subansiri,Arunachal Pradesh,2,12,40,72
Lower Subansiri,Arunachal Pradesh,3,16,80,70
Lower Subansiri,Arunachal Pradesh,4,19,150,72
Lower Subansiri,Arunachal Pradesh,5,22,250,78
Lower Subansiri,Arunachal Pradesh,6,24,350,85
Lower Subansiri,Arunachal Pradesh,7,25,400,88
Lower Subansiri,Arunachal Pradesh,8,25,380,88
Lower Subansiri,Arunachal Pradesh,9,23,300,85
Lower Subansiri,Arunachal Pradesh,10,20,150,80
Lower Subansiri,Arunachal Pradesh,11,15,50,75
Lower Subansiri,Arunachal Pradesh,12,11,20,74
Papum Pare,Arunachal Pradesh,1,10,30,75
Papum Pare,Arunachal Pradesh,2,12,40,72
Papum Pare,Arunachal Pradesh,3,16,80,70
Papum Pare,Arunachal Pradesh,4,19,150,72
Papum Pare,Arunachal Pradesh,5,22,250,78
Papum Pare,Arunachal Pradesh,6,24,350,85
Papum Pare,Arunachal Pradesh,7,25,400,88
Papum Pare,Arunachal Pradesh,8,25,380,88
Papum Pare,Arunachal Pradesh,9,23,300,85
Papum Pare,Arunachal Pradesh,10,20,150,80
Papum Pare,Arunachal Pradesh,11,15,50,75
Papum Pare,Arunachal Pradesh,12,11,20,74
Tawang,Arunachal Pradesh,1,10,30,75
Tawang,Arunachal Pradesh,2,12,40,72
Tawang,Arunachal Pradesh,3,16,80,70
Tawang,Arunachal Pradesh,4,19,150,72
Tawang,Arunachal Pradesh,5,22,250,78
Tawang,Arunachal Pradesh,6,24,350,85
Tawang,Arunachal Pradesh,7,25,400,88
Tawang,Arunachal Pradesh,8,25,380,88
Tawang,Arunachal Pradesh,9,23,300,85
Tawang,Arunachal Pradesh,10,20,150,80
Tawang,Arunachal Pradesh,11,15,50,75
Tawang,Arunachal Pradesh,12,11,20,74
Tirap,Arunachal Pradesh,1,10,30,75
Tirap,Arunachal Pradesh,2,12,40,72
Tirap,Arunachal Pradesh,3,16,80,70
Tirap,Arunachal Pradesh,4,19,150,72
Tirap,Arunachal Pradesh,5,22,250,78
Tirap,Arunachal Pradesh,6,24,350,85
Tirap,Arunachal Pradesh,7,25,400,88
Tirap,Arunachal Pradesh,8,25,380,88
Tirap,Arunachal Pradesh,9,23,300,85
Tirap,Arunachal Pradesh,10,20,150,80
Tirap,Arunachal Pradesh,11,15,50,75
Tirap,Arunachal Pradesh,12,11,20,74
Upper Dibang Valley,Arunachal Pradesh,1,10,30,75
Upper Dibang Valley,Arunachal Pradesh,2,12,40,72
Upper Dibang Valley,Arunachal Pradesh,3,16,80,70
Upper Dibang Valley,Arunachal Pradesh,4,19,150,72
Upper Dibang Valley,Arunachal Pradesh,5,22,250,78
Upper Dibang Valley,Arunachal Pradesh,6,24,350,85
Upper Dibang Valley,Arunachal Pradesh,7,25,400,88
Upper Dibang Valley,Arunachal Pradesh,8,25,380,88
Upper Dibang Valley,Arunachal Pradesh,9,23,300,85
Upper Dibang Valley,Arunachal Pradesh,10,20,150,80
Upper Dibang Valley,Arunachal Pradesh,11,15,50,75
Upper Dibang Valley,Arunachal Pradesh,12,11,20,74
Upper Siang,Arunachal Pradesh,1,10,30,75
Upper Siang,Arunachal Pradesh,2,12,40,72
Upper Siang,Arunachal Pradesh,3,16,80,70
Upper Siang,Arunachal Pradesh,4,19,150,72
Upper Siang,Arunachal Pradesh,5,22,250,78
Upper Siang,Arunachal Pradesh,6,24,350,85
Upper Siang,Arunachal Pradesh,7,25,400,88
Upper Siang,Arunachal Pradesh,8,25,380,88
Upper Siang,Arunachal Pradesh,9,23,300,85
Upper Siang,Arunachal Pradesh,10,20,150,80
Upper Siang,Arunachal Pradesh,11,15,50,75
Upper Siang,Arunachal Pradesh,12,11,20,74
Upper Subansiri,Arunachal Pradesh,1,10,30,75
Upper Subansiri,Arunachal Pradesh,2,12,40,72
Upper Subansiri,Arunachal Pradesh,3,16,80,70
Upper Subansiri,Arunachal Pradesh,4,19,150,72
Upper Subansiri,Arunachal Pradesh,5,22,250,78
Upper Subansiri,Arunachal Pradesh,6,24,350,85
Upper Subansiri,Arunachal Pradesh,7,25,400,88
Upper Subansiri,Arunachal Pradesh,8,25,380,88
Upper Subansiri,Arunachal Pradesh,9,23,300,85
Upper Subansiri,Arunachal Pradesh,10,20,150,80
Upper Subansiri,Arunachal Pradesh,11,15,50,75
Upper Subansiri,Arunachal Pradesh,12,11,20,74
West Kameng,Arunachal Pradesh,1,10,30,75
West Kameng,Arunachal Pradesh,2,12,40,72
West Kameng,Arunachal Pradesh,3,16,80,70
West Kameng,Arunachal Pradesh,4,19,150,72
West Kameng,Arunachal Pradesh,5,22,250,78
West Kameng,Arunachal Pradesh,6,24,350,85
West Kameng,Arunachal Pradesh,7,25,400,88
West Kameng,Arunachal Pradesh,8,25,380,88
West Kameng,Arunachal Pradesh,9,23,300,85
West Kameng,Arunachal Pradesh,10,20,150,80
West Kameng,Arunachal Pradesh,11,15,50,75
West Kameng,Arunachal Pradesh,12,11,20,74
West Siang,Arunachal Pradesh,1,10,30,75
West Siang,Arunachal Pradesh,2,12,40,72
West Siang,Arunachal Pradesh,3,16,80,70
West Siang,Arunachal Pradesh,4,19,150,72
West Siang,Arunachal Pradesh,5,22,250,78
West Siang,Arunachal Pradesh,6,24,350,85
West Siang,Arunachal Pradesh,7,25,400,88
West Siang,Arunachal Pradesh,8,25,380,88
West Siang,Arunachal Pradesh,9,23,300,85
West Siang,Arunachal Pradesh,10,20,150,80
West Siang,Arunachal Pradesh,11,15,50,75
West Siang,Arunachal Pradesh,12,11,20,74
Barpeta,Assam,1,16,15,78
Barpeta,Assam,2,18,20,75
Barpeta,Assam,3,22,60,72
Barpeta,Assam,4,26,120,75
Barpeta,Assam,5,28,200,80
Barpeta,Assam,6,29,320,88
Barpeta,Assam,7,29,360,90
Barpeta,Assam,8,29,310,89
Barpeta,Assam,9,28,230,87
Barpeta,Assam,10,26,120,82
Barpeta,Assam,11,21,30,78
Barpeta,Assam,12,17,10,76
Bongaigaon,Assam,1,16,15,78
Bongaigaon,Assam,2,18,20,75
Bongaigaon,Assam,3,22,60,72
Bongaigaon,Assam,4,26,120,75
Bongaigaon,Assam,5,28,200,80
Bongaigaon,Assam,6,29,320,88
Bongaigaon,Assam,7,29,360,90
Bongaigaon,Assam,8,29,310,89
Bongaigaon,Assam,9,28,230,87
Bongaigaon,Assam,10,26,120,82
Bongaigaon,Assam,11,21,30,78
Bongaigaon,Assam,12,17,10,76
Cachar,Assam,1,16,15,78
Cachar,Assam,2,18,20,75
Cachar,Assam,3,22,60,72
Cachar,Assam,4,26,120,75
Cachar,Assam,5,28,200,80
Cachar,Assam,6,29,320,88
Cachar,Assam,7,29,360,90
Cachar,Assam,8,29,310,89
Cachar,Assam,9,28,230,87
Cachar,Assam,10,26,120,82
Cachar,Assam,11,21,30,78
Cachar,Assam,12,17,10,76
Darrang,Assam,1,16,15,78
Darrang,Assam,2,18,20,75
Darrang,Assam,3,22,60,72
Darrang,Assam,4,26,120,75
Darrang,Assam,5,28,200,80
Darrang,Assam,6,29,320,88
Darrang,Assam,7,29,360,90
Darrang,Assam,8,29,310,89
Darrang,Assam,9,28,230,87
Darrang,Assam,10,26,120,82
Darrang,Assam,11,21,30,78
Darrang,Assam,12,17,10,76
Dhemaji,Assam,1,16,15,78
Dhemaji,Assam,2,18,20,75
Dhemaji,Assam,3,22,60,72
Dhemaji,Assam,4,26,120,75
Dhemaji,Assam,5,28,200,80
Dhemaji,Assam,6,29,320,88
Dhemaji,Assam,7,29,360,90
Dhemaji,Assam,8,29,310,89
Dhemaji,Assam,9,28,230,87
Dhemaji,Assam,10,26,120,82
Dhemaji,Assam,11,21,30,78
Dhemaji,Assam,12,17,10,76
Dhuburi,Assam,1,16,15,78
Dhuburi,Assam,2,18,20,75
Dhuburi,Assam,3,22,60,72
Dhuburi,Assam,4,26,120,75
Dhuburi,Assam,5,28,200,80
Dhuburi,Assam,6,29,320,88
Dhuburi,Assam,7,29,360,90
Dhuburi,Assam,8,29,310,89
Dhuburi,Assam,9,28,230,87
Dhuburi,Assam,10,26,120,82
Dhuburi,Assam,11,21,30,78
Dhuburi,Assam,12,17,10,76
Dibrugarh,Assam,1,16,15,78
Dibrugarh,Assam,2,18,20,75
Dibrugarh,Assam,3,22,60,72
Dibrugarh,Assam,4,26,120,75
Dibrugarh,Assam,5,28,200,80
Dibrugarh,Assam,6,29,320,88
Dibrugarh,Assam,7,29,360,90
Dibrugarh,Assam,8,29,310,89
Dibrugarh,Assam,9,28,230,87
Dibrugarh,Assam,10,26,120,82
Dibrugarh,Assam,11,21,30,78
Dibrugarh,Assam,12,17,10,76
Goalpara,Assam,1,16,15,78
Goalpara,Assam,2,18,20,75
Goalpara,Assam,3,22,60,72
Goalpara,Assam,4,26,120,75
Goalpara,Assam,5,28,200,80
Goalpara,Assam,6,29,320,88
Goalpara,Assam,7,29,360,90
Goalpara,Assam,8,29,310,89
Goalpara,Assam,9,28,230,87
Goalpara,Assam,10,26,120,82
Goalpara,Assam,11,21,30,78
Goalpara,Assam,12,17,10,76
